,labels,sentences
0,joy,"On days when I feel close to my partner and other friends.   
When I feel at peace with myself and also experience a close  
contact with people whom I regard greatly."
1,fear,"Every time I imagine that someone I love or I could contact a  
serious illness, even death."
2,anger,"When I had been obviously unjustly treated and had no possibility  
of elucidating this."
3,sadness,"When I think about the short time that we live and relate it to  
the periods of my life when I think that I did not use this  
short time."
4,disgust,"At a gathering I found myself involuntarily sitting next to two  
people who expressed opinions that I considered very low and  
discriminating."
5,shame,"When I realized that I was directing the feelings of discontent  
with myself at my partner and this way was trying to put the blame  
on him instead of sorting out my own feeliings."
6,guilt,"I feel guilty when when I realize that I consider material things  
more important than caring for my relatives.  I feel very  
self-centered."
7,joy,"After my girlfriend had taken her exam we went to her parent's  
place."
8,fear,"When, for the first time I realized the meaning of death."
9,anger,"When a car is overtaking another and I am forced to drive off the  
road."
10,sadness,"When I recently thought about the hard work it takes to study, and   
how one wants to try something else.  When I read a theoretical  
book in English that I did not understand."
11,disgust,When I found a bristle in the liver paste tube.
12,shame,"When I was tired and unmotivated, I shouted at my girlfriend and  
and brought up negative sides of her character which are actually  
not so important."
13,guilt,"When I think that I do not study enough.  After the weekend I  
think that I should have been able to have accomplished  
something during that time."
14,joy,When I pass an examination which I did not think I did well.
15,fear,"When one has arranged to meet someone and that person arrives  
late, in the meantime one starts thinking about all that could  
have gone wrong e.g a traffic accident."
16,anger,When one is unjustly accused of something one has not done.
17,sadness,When one's studies seem hopelessly difficult and uninteresting.
18,disgust,"When one finds out that someone you know is not at all like one  
had thought, for instance friends who steal and things like that,  
quite unwarranted."
19,shame,"When one has been unjust, stupid towards someone else. "
20,guilt,When one has neglected or been unjust to a good friend.
21,joy,Passing an exam I did not expect to pass.
22,fear,"When I climbed up a tree to pick apples.  The angle of the ladder  
I was on did not enable me to get high enough.  This implied  
that the ladder was not very stable."
23,guilt,When excuses are necessary and I get out of doing it myself.
24,joy,When I had my children.
25,fear,"When my 2 year old son climbed up and sat on the 7th floor  
balcony with his legs hanging out.  He was holding on tightly to  
the upper railing of the balcony but he could have easily lost  
his balance when he sat down."
26,anger,When my partner was attacked and lost three teeth.
27,sadness,"When I see children on T.V from areas devastated by drought and  
war."
28,disgust,When I nearly walked on a blindworm and then saw it crawl away.
29,shame,"When I saw my 18 year old son grab an oxygen mask as he had  
breathing difficulties.  I had a bad conscience because I had not  
stopped smoking.  Medication for the dilation of his breathing  
tubes also caused a sense of guilt in me."
30,guilt,"I experience a sense of guilt as my middle son cannot express  
himself like other children, neither verbally nor in writing."
31,joy,When my child was born.
32,fear,"It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.
 The branch went through the ice and I fell in, the water closed  
in over my head."
33,anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  "
34,sadness,Failing an examination.
35,disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that  
turned into sadness-unpleasantness."
36,shame,"When, as an adult I have been caught lying or behaving badly."
37,guilt,"When I am in an environment or with a person much worse off than  
me, I realize how privileged I am."
